Région,Type de sol,pH du sol,Pluviométrie (mm/an),Température (°C),Irrigation,Budget disponible (MAD/ha),Prix (MAD/kg),Rendement (kg/ha),Période de plantation,Durée de culture (mois),Sensibilité au climat,Bénéfice estimé (MAD/ha),Culture recommandée
Fès,Argileux,6.0,404.5,19.9,Oui,21642.74,12.1,23047.55,Toute l’année,3.4,Moyenne,195212.75,Blé
Fès,Sableux,6.37,435.9,18.4,Non,19175.64,7.16,19047.26,Mars - Avril,5.6,Forte,95464.87,Blé
Meknès,Argileux,6.05,496.6,21.4,Oui,9949.01,11.74,19525.77,Mars - Avril,3.9,Forte,160462.78,Blé
Meknès,Limoneux,6.05,577.9,19.9,Oui,18703.31,9.84,21725.61,Mars - Avril,3.5,Faible,149646.0,Blé
Rabat,Limoneux,6.54,500.4,18.4,Oui,17295.56,9.61,17996.17,Mars - Avril,4.2,Faible,121060.24,Blé
Rabat,Limoneux,6.64,455.9,19.2,Oui,17007.96,8.88,15294.95,Toute l’année,3.7,Moyenne,95073.41,Blé
Rabat,Argileux,6.46,563.1,19.8,Non,16879.53,7.36,22130.56,Mai - Juin,4.2,Moyenne,114016.65,Blé
Meknès,Limoneux,6.98,561.7,19.2,Non,22424.55,7.48,18539.4,Mai - Juin,3.5,Moyenne,97072.3,Blé
Rabat,Limoneux,6.64,489.5,19.2,Non,18851.02,8.75,14464.02,Toute l’année,4.8,Forte,88592.12,Blé
Ouarzazate,Argileux,6.34,528.8,19.2,Oui,19485.7,6.03,15588.04,Toute l’année,4.0,Faible,65797.12,Blé
Agadir,Sableux,6.68,540.4,19.7,Oui,13279.72,6.63,15134.61,Toute l’année,3.2,Moyenne,70239.73,Blé
Rabat,Sableux,6.4,471.3,18.5,Non,14888.89,9.22,17175.29,Mai - Juin,5.7,Faible,110849.32,Blé
Meknès,Limoneux,6.37,443.2,19.2,Oui,22241.36,5.33,19706.96,Septembre - Octobre,4.2,Faible,73526.67,Blé
Agadir,Limoneux,6.3,592.9,18.9,Oui,17257.36,6.25,13356.58,Septembre - Octobre,3.3,Moyenne,58435.04,Blé
Ouarzazate,Limoneux,6.83,514.8,21.9,Oui,17621.14,8.29,16699.97,Septembre - Octobre,3.8,Moyenne,96909.93,Blé
Rabat,Sableux,6.33,490.0,18.2,Oui,16457.61,7.33,14442.11,Mai - Juin,3.2,Faible,74102.47,Blé
Ouarzazate,Sableux,6.75,547.7,21.2,Oui,17285.68,7.19,18346.98,Mai - Juin,4.3,Faible,92340.35,Blé
Agadir,Sableux,6.32,459.6,20.3,Non,23781.71,7.68,25028.06,Septembre - Octobre,5.8,Forte,134550.85,Blé
Agadir,Limoneux,6.11,560.8,19.0,Oui,17794.44,8.91,22185.44,Toute l’année,4.2,Moyenne,138370.59,Blé
Agadir,Argileux,6.73,454.6,20.4,Oui,24887.0,8.71,19792.74,Septembre - Octobre,4.9,Forte,120676.34,Blé
Meknès,Argileux,6.13,582.0,20.3,Oui,20889.49,9.84,16145.2,Septembre - Octobre,4.1,Forte,111208.14,Blé
Ouarzazate,Limoneux,6.57,491.8,18.8,Non,16598.68,6.71,21027.67,Mai - Juin,5.2,Moyenne,98766.97,Blé
Ouarzazate,Sableux,6.9,520.9,21.9,Oui,22591.74,7.28,12545.01,Mai - Juin,5.7,Faible,63929.37,Blé
Ouarzazate,Argileux,6.53,427.6,19.7,Oui,21466.08,8.33,22189.04,Mai - Juin,3.3,Faible,129384.29,Blé
Fès,Argileux,6.86,531.8,20.1,Non,16229.13,6.71,17777.2,Toute l’année,4.0,Faible,83499.51,Blé
Ouarzazate,Limoneux,6.59,489.0,19.8,Oui,15121.28,7.96,21898.1,Mars - Avril,3.2,Forte,122016.21,Blé
Fès,Argileux,6.17,500.5,19.5,Non,19170.59,6.65,16060.94,Toute l’année,3.5,Moyenne,74763.68,Blé
Agadir,Limoneux,6.03,566.4,21.0,Oui,17012.18,7.96,18240.9,Mai - Juin,4.4,Forte,101638.29,Blé
Rabat,Sableux,6.11,528.6,21.6,Non,18791.69,4.45,15534.01,Septembre - Octobre,5.2,Moyenne,48388.44,Blé
Meknès,Sableux,6.24,507.7,19.5,Oui,22687.09,6.76,14770.26,Mars - Avril,4.3,Moyenne,69892.87,Blé
Rabat,Argileux,6.37,485.4,19.7,Non,22154.85,5.78,15305.67,Toute l’année,4.3,Faible,61926.74,Blé
Rabat,Argileux,6.28,472.9,21.6,Non,11315.77,5.91,20049.84,Toute l’année,4.1,Moyenne,82946.19,Blé
Rabat,Sableux,6.56,550.2,20.8,Oui,21144.1,9.88,20594.66,Mars - Avril,5.6,Faible,142432.67,Blé
Rabat,Limoneux,6.34,477.8,20.9,Oui,19260.83,6.93,21702.19,Mars - Avril,3.7,Forte,105277.32,Blé
Ouarzazate,Sableux,6.92,422.0,19.3,Non,18306.54,9.35,15494.83,Septembre - Octobre,5.9,Forte,101413.66,Blé
Ouarzazate,Limoneux,6.3,493.9,18.2,Oui,14812.3,8.76,20503.3,Toute l’année,5.6,Faible,125726.24,Blé
Ouarzazate,Argileux,6.76,505.4,21.5,Oui,20000.96,11.58,20635.7,Toute l’année,3.4,Faible,167272.98,Blé
Ouarzazate,Argileux,6.49,508.9,20.5,Non,16047.21,7.06,13311.72,Mai - Juin,3.3,Faible,65786.52,Blé
Rabat,Argileux,6.35,543.4,20.1,Non,18054.46,6.52,13151.38,Mars - Avril,3.2,Moyenne,60022.9,Blé
Rabat,Limoneux,6.79,481.3,21.4,Oui,16748.21,7.89,18836.43,Septembre - Octobre,5.7,Forte,104033.6,Blé
Meknès,Argileux,6.69,587.4,21.6,Oui,12192.07,9.11,15457.57,Toute l’année,4.6,Forte,98572.92,Blé
Meknès,Limoneux,6.71,570.7,19.6,Oui,16489.52,4.12,17139.17,Septembre - Octobre,5.6,Forte,49429.37,Blé
Fès,Argileux,6.12,526.7,18.2,Oui,11746.58,9.11,18026.14,Septembre - Octobre,5.2,Moyenne,114952.69,Blé
Rabat,Limoneux,6.61,514.4,21.3,Oui,18584.36,7.92,15166.52,Mars - Avril,3.0,Forte,84083.19,Blé
Meknès,Limoneux,6.28,447.2,18.9,Oui,18358.65,6.24,10320.22,Mars - Avril,4.3,Faible,45078.72,Blé
Fès,Argileux,6.58,502.7,18.0,Non,18360.56,7.69,14462.69,Mai - Juin,5.4,Faible,77852.66,Blé
Ouarzazate,Sableux,6.79,513.5,18.7,Non,14269.95,8.21,17645.46,Toute l’année,5.9,Forte,101408.46,Blé
Agadir,Limoneux,6.35,493.8,19.7,Oui,28013.66,6.45,19703.57,Mars - Avril,3.0,Faible,88961.62,Blé
Agadir,Sableux,6.95,440.6,19.8,Oui,20061.53,9.82,17869.8,Septembre - Octobre,3.9,Forte,122837.01,Blé
Meknès,Limoneux,6.15,555.9,18.8,Oui,14027.64,8.65,19429.38,Mai - Juin,5.4,Forte,117644.9,Blé
Ouarzazate,Sableux,6.11,459.0,19.4,Non,13890.6,6.6,17706.26,Mai - Juin,6.0,Faible,81802.92,Blé
Rabat,Argileux,6.23,477.7,19.3,Oui,20994.74,9.29,14639.79,Septembre - Octobre,3.3,Moyenne,95202.55,Blé
Fès,Sableux,6.37,568.2,21.2,Oui,17060.91,8.53,17409.77,Mai - Juin,3.8,Moyenne,103953.74,Blé
Ouarzazate,Sableux,6.89,418.1,18.3,Non,20276.21,4.46,19103.12,Toute l’année,6.0,Forte,59639.94,Blé
Meknès,Argileux,6.15,442.2,18.8,Non,12915.99,11.16,18518.58,Toute l’année,4.6,Forte,144667.15,Blé
Rabat,Argileux,6.67,526.6,19.0,Non,21838.77,7.02,20587.55,Toute l’année,3.9,Moyenne,101167.22,Blé
Fès,Sableux,6.61,524.8,21.5,Oui,19659.77,8.4,20199.95,Toute l’année,3.8,Moyenne,118775.71,Blé
Meknès,Limoneux,6.38,484.4,20.7,Oui,18337.34,9.29,12178.73,Mars - Avril,5.8,Forte,79198.28,Blé
Meknès,Argileux,6.3,518.6,18.8,Oui,12602.24,8.71,20513.93,Mai - Juin,3.4,Faible,125073.43,Blé
Rabat,Sableux,6.26,455.0,20.6,Non,10801.96,9.25,16943.81,Septembre - Octobre,5.7,Forte,109711.17,Blé
Meknès,Sableux,6.86,421.1,19.9,Non,20926.36,6.32,23036.36,Mai - Juin,5.4,Faible,101912.86,Blé
Ouarzazate,Sableux,6.18,411.9,20.8,Non,21188.95,8.82,19319.78,Mars - Avril,3.1,Faible,119280.32,Blé
Meknès,Limoneux,6.35,489.5,19.1,Oui,21774.33,11.32,11478.46,Mars - Avril,3.7,Moyenne,90955.32,Blé
Meknès,Sableux,6.38,440.1,21.9,Non,18004.15,9.34,16343.97,Mai - Juin,4.3,Faible,106856.88,Blé
Fès,Limoneux,6.92,499.4,21.6,Non,12700.36,7.67,16148.33,Septembre - Octobre,4.9,Forte,86700.38,Blé
Agadir,Sableux,6.65,534.1,18.3,Non,14503.32,12.11,16821.4,Septembre - Octobre,4.8,Forte,142595.01,Blé
Fès,Argileux,6.7,563.1,21.6,Non,21938.56,9.84,15123.96,Septembre - Octobre,5.6,Moyenne,104173.84,Blé
Agadir,Limoneux,6.06,572.9,19.5,Oui,18936.56,9.21,19926.32,Mars - Avril,4.1,Faible,128464.99,Blé
Agadir,Argileux,6.6,568.8,18.6,Non,22507.73,9.66,24064.18,Toute l’année,5.6,Forte,162721.99,Blé
Meknès,Argileux,6.16,554.6,18.8,Non,20796.81,6.9,20072.69,Mars - Avril,4.0,Forte,96951.09,Blé
Ouarzazate,Argileux,6.74,510.4,20.4,Oui,20307.92,11.03,14166.29,Toute l’année,4.1,Faible,109377.93,Blé
Agadir,Argileux,6.74,574.2,20.8,Oui,21566.61,9.1,20150.44,Mars - Avril,5.0,Forte,128358.3,Blé
Meknès,Sableux,6.96,546.7,18.3,Oui,16551.98,9.89,19931.99,Mai - Juin,4.2,Faible,137989.17,Blé
Fès,Argileux,6.4,456.0,20.9,Non,19789.44,5.87,21445.44,Mars - Avril,5.4,Faible,88119.31,Blé
Fès,Argileux,6.02,518.2,21.3,Non,17945.53,5.59,23960.08,Toute l’année,5.8,Moyenne,93755.79,Blé
Meknès,Sableux,6.78,558.6,20.2,Oui,17860.73,5.93,16801.5,Mars - Avril,4.3,Moyenne,69743.03,Blé
Meknès,Limoneux,6.3,577.7,20.9,Oui,33132.56,7.71,19359.95,Septembre - Octobre,3.7,Moyenne,104485.65,Blé
Fès,Sableux,6.76,416.2,19.8,Non,16369.31,9.61,15329.59,Mars - Avril,5.6,Faible,103122.15,Blé
Agadir,Argileux,6.09,448.9,19.4,Oui,19729.61,9.63,14790.22,Toute l’année,3.0,Forte,99700.87,Blé
Rabat,Sableux,6.96,439.6,18.1,Non,21544.6,3.9,19368.56,Mars - Avril,4.9,Forte,52876.17,Blé
Meknès,Sableux,6.73,478.2,20.4,Oui,12601.75,9.64,16647.49,Toute l’année,4.3,Faible,112337.26,Blé
Rabat,Sableux,6.82,425.1,19.8,Oui,18589.95,9.05,15386.03,Septembre - Octobre,5.1,Forte,97470.5,Blé
Rabat,Limoneux,6.62,555.9,21.8,Oui,15154.67,9.44,18935.13,Mai - Juin,3.1,Forte,125123.34,Blé
Agadir,Argileux,6.12,543.4,18.1,Oui,25353.57,6.32,21436.04,Mai - Juin,4.8,Moyenne,94833.04,Blé
Agadir,Limoneux,6.96,540.6,21.6,Oui,22627.88,9.55,18954.64,Mars - Avril,5.6,Moyenne,126711.77,Blé
Rabat,Sableux,6.23,563.9,18.0,Non,13724.21,10.55,15430.54,Mars - Avril,3.9,Faible,113954.54,Blé
Agadir,Sableux,6.36,580.1,19.8,Oui,20660.43,8.22,18932.29,Mai - Juin,6.0,Faible,108936.4,Blé
Ouarzazate,Sableux,6.76,574.4,19.0,Oui,19429.35,4.95,17184.83,Toute l’année,5.5,Forte,59545.44,Blé
Agadir,Sableux,6.87,499.5,18.8,Oui,22625.16,8.73,17619.02,Toute l’année,5.0,Forte,107669.83,Blé
Meknès,Argileux,6.8,400.5,19.8,Non,16023.7,7.66,18244.06,Toute l’année,4.3,Forte,97824.65,Blé
Rabat,Sableux,6.01,498.7,20.3,Non,17001.32,5.67,19652.89,Septembre - Octobre,5.0,Faible,78002.32,Blé
Meknès,Sableux,6.71,404.1,20.0,Non,20991.16,13.74,19814.95,Septembre - Octobre,4.2,Moyenne,190580.19,Blé
Meknès,Argileux,6.8,441.7,18.0,Oui,16138.63,7.7,19670.81,Septembre - Octobre,5.4,Moyenne,106025.67,Blé
Ouarzazate,Argileux,6.46,411.2,21.7,Oui,21234.36,8.39,16181.05,Mai - Juin,4.6,Moyenne,95031.31,Blé
Rabat,Argileux,6.91,431.2,18.7,Oui,19836.64,11.87,12442.15,Mars - Avril,4.8,Forte,103381.82,Blé
Fès,Argileux,6.72,588.1,20.7,Non,15640.19,6.56,20477.85,Mars - Avril,5.9,Faible,94034.29,Blé
Ouarzazate,Sableux,6.11,489.5,21.4,Non,13776.32,3.83,23417.19,Septembre - Octobre,4.7,Faible,62781.49,Blé
Rabat,Limoneux,6.48,433.7,21.3,Oui,9637.13,9.64,18928.59,Toute l’année,5.9,Moyenne,127730.13,Blé
Fès,Argileux,6.81,467.0,18.9,Non,16401.26,6.99,20912.19,Mai - Juin,4.0,Faible,102323.35,Blé
Fès,Sableux,6.17,505.6,19.5,Oui,22518.68,9.05,22115.62,Toute l’année,4.4,Faible,140102.45,Blé
Meknès,Argileux,6.88,527.4,20.0,Non,27494.29,7.87,15444.27,Septembre - Octobre,5.8,Moyenne,85082.48,Blé
Meknès,Argileux,6.68,465.7,20.0,Oui,18994.35,9.14,15633.3,Toute l’année,5.5,Moyenne,100021.85,Blé
Rabat,Limoneux,6.0,561.1,22.0,Non,21086.85,9.2,17024.84,Septembre - Octobre,5.2,Forte,109639.97,Blé
Agadir,Limoneux,6.85,510.7,21.9,Oui,19598.11,9.43,19077.92,Mars - Avril,3.1,Moyenne,125933.35,Blé
Rabat,Sableux,6.19,565.4,21.3,Non,15545.01,6.9,18640.29,Mai - Juin,3.4,Moyenne,90032.6,Blé
Agadir,Sableux,6.8,440.4,17.3,Non,12859.18,7.47,14372.56,Mars - Avril,4.4,Faible,75154.12,Orge
Agadir,Limoneux,6.64,376.5,19.8,Non,18753.27,8.48,17442.5,Mai - Juin,5.8,Forte,103538.68,Orge
Ouarzazate,Sableux,7.33,354.3,17.0,Oui,17081.19,9.46,21936.62,Mai - Juin,6.0,Faible,145264.3,Orge
Agadir,Limoneux,7.01,308.0,19.2,Oui,11635.82,8.33,16948.18,Toute l’année,4.3,Forte,98824.84,Orge
Rabat,Sableux,7.13,419.5,19.6,Non,14352.18,4.82,15604.7,Mai - Juin,5.0,Moyenne,52650.26,Orge
Rabat,Sableux,7.1,358.5,20.0,Non,16196.82,10.22,16375.91,Septembre - Octobre,5.0,Faible,117153.26,Orge
Fès,Argileux,7.1,469.5,19.2,Oui,18543.91,6.78,10536.75,Mai - Juin,5.6,Moyenne,50007.42,Orge
Agadir,Limoneux,6.53,320.0,17.4,Non,18292.76,5.21,20828.79,Septembre - Octobre,5.8,Faible,75962.6,Orge
Agadir,Sableux,7.31,427.5,19.3,Oui,16075.75,9.55,19430.57,Mars - Avril,4.9,Faible,129893.36,Orge
Ouarzazate,Limoneux,7.09,396.7,18.7,Oui,12321.16,5.5,13736.28,Mars - Avril,5.4,Moyenne,52884.68,Orge
Fès,Limoneux,6.98,390.9,19.3,Oui,16353.75,9.84,15311.56,Mars - Avril,3.3,Forte,105466.03,Orge
Rabat,Argileux,7.0,364.5,18.5,Non,8677.75,7.96,17576.59,Toute l’année,5.0,Faible,97936.76,Orge
Rabat,Sableux,6.72,336.5,16.7,Non,14552.87,7.55,16712.7,Septembre - Octobre,3.3,Forte,88326.62,Orge
Fès,Sableux,6.99,493.8,19.7,Non,21987.5,12.52,18952.72,Mars - Avril,3.3,Forte,166101.64,Orge
Fès,Sableux,6.53,419.7,16.6,Non,19006.49,7.56,22173.37,Toute l’année,3.2,Forte,117341.47,Orge
Ouarzazate,Argileux,7.02,301.9,16.3,Non,15499.76,9.91,23734.16,Toute l’année,4.3,Forte,164643.87,Orge
Ouarzazate,Sableux,7.02,447.1,17.2,Non,16834.27,8.34,18295.6,Mai - Juin,4.2,Moyenne,106809.71,Orge
Ouarzazate,Argileux,7.3,388.1,16.7,Non,17849.73,6.99,19843.07,Mai - Juin,5.4,Forte,97092.14,Orge
Rabat,Sableux,6.61,427.0,17.9,Oui,22114.15,9.07,21859.68,Toute l’année,5.9,Moyenne,138787.11,Orge
Ouarzazate,Sableux,6.68,423.9,19.9,Non,17207.76,7.79,20593.49,Mai - Juin,4.5,Forte,112296.3,Orge
Meknès,Limoneux,7.35,308.2,18.7,Non,17802.98,8.29,11772.69,Toute l’année,3.9,Forte,68316.92,Orge
Ouarzazate,Sableux,7.34,378.9,18.7,Non,15676.89,9.69,20215.57,Mars - Avril,5.4,Forte,137122.21,Orge
Fès,Argileux,7.49,351.9,17.3,Oui,11186.76,5.07,18742.6,Septembre - Octobre,3.1,Forte,66517.49,Orge
Fès,Sableux,6.69,377.9,16.3,Oui,17201.33,7.17,18775.82,Mars - Avril,4.4,Faible,94235.84,Orge
Fès,Sableux,6.84,498.3,19.1,Non,17408.26,6.32,19650.52,Septembre - Octobre,4.2,Forte,86933.9,Orge
Rabat,Sableux,6.79,429.8,16.3,Oui,12684.19,9.15,16505.69,Mai - Juin,5.4,Moyenne,105718.94,Orge
Fès,Limoneux,7.06,473.6,18.6,Non,17050.61,4.89,17172.68,Mai - Juin,5.1,Forte,58782.08,Orge
Fès,Argileux,7.23,454.1,16.2,Oui,21624.25,7.05,16477.0,Septembre - Octobre,4.1,Forte,81314.0,Orge
Agadir,Sableux,7.09,402.8,19.4,Non,16630.32,5.64,13732.58,Mai - Juin,4.1,Forte,54216.23,Orge
Meknès,Limoneux,7.25,481.1,19.6,Non,16056.5,9.24,17053.72,Mai - Juin,4.5,Moyenne,110303.46,Orge
Rabat,Argileux,6.55,345.1,16.8,Non,10888.3,6.8,18196.68,Septembre - Octobre,3.2,Forte,86616.2,Orge
Fès,Argileux,6.98,448.0,17.8,Non,13738.72,7.35,17492.15,Septembre - Octobre,5.5,Faible,89997.11,Orge
Fès,Argileux,7.06,401.8,19.5,Non,18310.39,7.94,22155.22,Septembre - Octobre,4.8,Faible,123138.71,Orge
Fès,Limoneux,6.58,459.2,17.0,Oui,21234.9,8.06,23236.15,Mai - Juin,3.9,Faible,131098.36,Orge
Fès,Argileux,7.4,436.5,19.7,Non,23814.57,6.63,14242.57,Toute l’année,5.8,Moyenne,66099.77,Orge
Ouarzazate,Sableux,7.1,415.0,16.1,Non,15303.18,5.9,14622.67,Toute l’année,3.9,Moyenne,60391.63,Orge
Meknès,Sableux,6.62,319.1,16.3,Oui,13181.73,9.99,18161.8,Mai - Juin,3.7,Faible,127005.47,Orge
Agadir,Limoneux,6.61,423.0,16.0,Oui,21229.46,10.41,14211.52,Mai - Juin,4.9,Moyenne,103559.35,Orge
Ouarzazate,Limoneux,7.05,349.1,16.7,Oui,16546.2,9.27,19643.85,Mars - Avril,4.3,Faible,127468.94,Orge
Agadir,Argileux,7.08,311.2,16.7,Non,16544.4,8.0,17412.68,Mars - Avril,3.0,Faible,97511.01,Orge
Agadir,Sableux,7.05,405.7,18.6,Non,17382.13,3.92,9980.6,Mai - Juin,3.7,Forte,27386.77,Orge
Fès,Sableux,7.3,497.1,19.5,Non,19810.0,5.27,15491.54,Septembre - Octobre,5.7,Moyenne,57148.29,Orge
Rabat,Argileux,7.33,455.3,17.8,Non,24624.63,7.95,14884.37,Toute l’année,4.7,Moyenne,82831.52,Orge
Fès,Sableux,7.22,320.6,16.3,Non,15339.48,10.78,15544.88,Toute l’année,3.6,Moyenne,117301.66,Orge
Agadir,Argileux,6.77,352.0,18.8,Non,24377.99,8.16,17474.19,Mai - Juin,4.9,Moyenne,99812.57,Orge
Meknès,Limoneux,7.23,383.5,19.3,Non,14492.48,8.18,18185.44,Mars - Avril,4.4,Forte,104129.83,Orge
Agadir,Sableux,7.2,353.7,19.3,Non,24447.53,8.97,19723.84,Mai - Juin,3.4,Forte,123845.99,Orge
Ouarzazate,Sableux,7.4,325.3,18.2,Oui,18312.03,7.22,19497.91,Septembre - Octobre,5.0,Forte,98542.44,Orge
Fès,Limoneux,7.1,480.8,19.7,Non,14619.22,5.16,21128.09,Mai - Juin,5.7,Moyenne,76314.66,Orge
Meknès,Limoneux,6.92,454.6,19.1,Oui,20575.59,8.75,15392.24,Toute l’année,3.3,Moyenne,94277.47,Orge
Fès,Limoneux,7.09,394.3,19.8,Oui,10370.7,8.85,20013.34,Toute l’année,3.7,Faible,123982.64,Orge
Agadir,Argileux,7.0,322.7,17.6,Non,17879.67,9.11,19160.92,Mai - Juin,3.7,Moyenne,122189.19,Orge
Meknès,Limoneux,7.18,348.8,18.3,Non,11337.16,10.3,17672.46,Septembre - Octobre,5.8,Moyenne,127418.44,Orge
Rabat,Limoneux,7.2,395.1,16.4,Non,25267.96,4.51,17014.96,Toute l’année,5.5,Forte,53716.23,Orge
Meknès,Argileux,7.24,487.6,16.0,Non,22761.95,8.97,17766.97,Toute l’année,5.1,Moyenne,111558.8,Orge
Ouarzazate,Limoneux,7.06,392.4,19.3,Oui,15877.27,8.37,22572.93,Septembre - Octobre,4.9,Faible,132254.8,Orge
Fès,Sableux,6.74,366.0,19.9,Oui,19271.33,10.17,22804.63,Toute l’année,4.9,Faible,162346.16,Orge
Ouarzazate,Argileux,7.24,480.1,19.1,Non,14833.95,10.8,17577.4,Mars - Avril,3.5,Forte,132885.14,Orge
Rabat,Limoneux,7.01,332.1,16.7,Oui,17030.92,7.02,16818.82,Mai - Juin,4.2,Moyenne,82647.68,Orge
Meknès,Limoneux,7.26,314.0,17.7,Oui,21990.59,11.09,14970.73,Mars - Avril,6.0,Faible,116217.78,Orge
Fès,Sableux,6.6,399.6,16.8,Non,24479.24,10.25,18983.71,Mars - Avril,4.3,Faible,136208.12,Orge
Agadir,Limoneux,6.79,315.8,18.8,Oui,18590.05,6.44,21243.27,Mars - Avril,3.3,Moyenne,95764.66,Orge
Meknès,Limoneux,6.79,392.3,17.6,Oui,21055.45,9.43,16492.45,Septembre - Octobre,5.9,Faible,108866.66,Orge
Agadir,Sableux,6.65,471.9,17.9,Oui,19119.18,10.31,18546.85,Mars - Avril,3.5,Forte,133852.62,Orge
Fès,Limoneux,7.15,313.4,18.8,Non,13365.08,11.82,16292.89,Septembre - Octobre,3.2,Faible,134807.37,Orge
Meknès,Argileux,6.85,426.7,16.2,Non,20006.58,10.19,17957.2,Mars - Avril,5.4,Moyenne,128088.71,Orge
Fès,Argileux,7.29,378.5,19.2,Oui,16708.44,5.87,12781.02,Septembre - Octobre,3.0,Faible,52517.21,Orge
Ouarzazate,Argileux,6.93,433.0,19.0,Oui,13055.65,5.44,20348.84,Mai - Juin,3.8,Faible,77488.38,Orge
Meknès,Argileux,6.75,450.6,18.5,Non,16953.95,9.94,18674.62,Mars - Avril,3.8,Faible,129938.01,Orge
Agadir,Argileux,6.9,312.5,19.1,Oui,15087.87,9.55,18836.82,Septembre - Octobre,4.4,Moyenne,125924.14,Orge
Ouarzazate,Limoneux,6.99,443.0,16.9,Oui,19602.65,9.35,19304.56,Mars - Avril,3.6,Forte,126348.35,Orge
Rabat,Argileux,6.9,425.1,17.1,Oui,14749.44,8.31,15259.6,Mars - Avril,5.2,Faible,88765.09,Orge
Ouarzazate,Argileux,6.88,399.1,16.7,Oui,17622.82,7.93,18922.64,Mai - Juin,4.2,Faible,105039.57,Orge
Meknès,Argileux,7.09,471.3,18.1,Non,18532.95,9.5,19792.18,Toute l’année,4.0,Moyenne,131618.0,Orge
Ouarzazate,Limoneux,7.28,387.7,19.2,Non,17040.97,10.66,14931.08,Toute l’année,5.8,Forte,111415.72,Orge
Fès,Limoneux,6.96,335.2,19.7,Non,21279.36,9.41,20099.39,Mars - Avril,4.3,Forte,132394.68,Orge
Meknès,Argileux,6.79,457.1,19.7,Oui,18521.95,9.54,21663.15,Mars - Avril,3.1,Forte,144666.52,Orge
Fès,Sableux,7.37,395.4,16.0,Non,21746.58,9.51,14432.25,Mai - Juin,4.8,Faible,96075.49,Orge
Fès,Limoneux,7.15,483.7,17.7,Non,18954.96,13.06,18978.48,Mars - Avril,4.8,Faible,173501.26,Orge
Ouarzazate,Limoneux,6.8,360.1,16.2,Non,14579.63,10.68,18462.33,Toute l’année,3.9,Forte,138024.38,Orge
Meknès,Sableux,7.41,338.6,18.8,Non,14507.6,7.72,20271.86,Mars - Avril,3.8,Faible,109549.13,Orge
Fès,Sableux,6.78,350.8,16.7,Non,12265.89,9.99,20674.62,Toute l’année,4.9,Moyenne,144577.62,Orge
Agadir,Limoneux,6.52,389.0,16.4,Non,18404.24,9.04,18026.47,Mars - Avril,4.1,Moyenne,114071.5,Orge
